filename,label
captcha_001.gif,g4f4
captcha_002.gif,cr7m
captcha_003.gif,crg2
captcha_004.gif,ejtv
captcha_005.gif,crg2
captcha_006.gif,cehg
captcha_007.gif,ybqf
captcha_008.gif,c9m7
captcha_009.gif,fbbf
captcha_010.gif,ewh9
captcha_011.gif,cgey
captcha_012.gif,ekrf
captcha_013.gif,ecqm
captcha_014.gif,67rt
captcha_015.gif,eyfb
captcha_016.gif,eyd6
captcha_017.gif,h72w
captcha_018.gif,eg2k
captcha_019.gif,cjbf
captcha_020.gif,eyfw
captcha_021.gif,ebmy
captcha_022.gif,6ykc
captcha_023.gif,c8hg
captcha_024.gif,cfhj
captcha_025.gif,eydr
captcha_026.gif,eh4q
captcha_027.gif,cmrr
captcha_028.gif,c7hf
captcha_029.gif,et8f
captcha_030.gif,yhf9
captcha_031.gif,ex2h
captcha_032.gif,ch9t
captcha_033.gif,epy7
captcha_034.gif,jpfm
captcha_035.gif,6kgy
captcha_036.gif,ejpm
captcha_037.gif,43vq
captcha_038.gif,cr6b
captcha_039.gif,c48k
captcha_040.gif,crbb
captcha_041.gif,egkf
captcha_042.gif,e4ch
captcha_043.gif,k6mr
captcha_044.gif,c7kj
captcha_045.gif,ehth
captcha_046.gif,c6j9
captcha_047.gif,cb9y
captcha_048.gif,24mw
captcha_049.gif,eq6e
captcha_050.gif,e9c7
