file,label,prediction,debug
captcha_003.jpg,5154,0914,"0:component:-1.020:(0, 0, 47, 39)|9:template_scan:-0.775:(44, 14, 24, 27)|1:component:0.007:(81, 41, 8, 12)|4:template_scan:0.775:(119, 20, 24, 28)"
captcha_004.jpg,1357,1307,"1:component:-0.179:(20, 30, 4, 10)|3:component:0.421:(52, 29, 14, 19)|0:component:-0.707:(98, 16, 16, 17)|7:component:0.698:(126, 13, 13, 20)"
captcha_008.jpg,7611,4615,"4:slot_scan:-0.410:(7, 28, 22, 26)|6:component:0.975:(44, 11, 28, 32)|1:component:0.224:(93, 51, 4, 9)|5:component:-1.581:(117, 15, 15, 10)"
captcha_009.jpg,9661,9691,"9:component:0.944:(7, 25, 22, 32)|6:position_fallback:0.712:(45, 20, 22, 25)|9:slot_scan:-0.080:(82, 29, 22, 26)|1:template_scan:-1.392:(130, 22, 15, 15)"
captcha_014.jpg,3764,3464,"3:component:0.913:(8, 28, 22, 28)|4:template_scan:-0.465:(38, 14, 33, 40)|6:component:0.545:(83, 13, 15, 19)|4:template_scan:-0.398:(117, 17, 27, 32)"
captcha_017.jpg,9593,9693,"9:component:0.957:(7, 10, 23, 32)|6:slot_scan:-0.317:(45, 35, 22, 25)|9:component:0.985:(79, 7, 24, 36)|3:template_scan:-1.413:(117, 17, 27, 32)"
captcha_018.jpg,7253,9273,"9:component:-1.553:(9, 0, 40, 41)|2:component:0.433:(52, 12, 12, 17)|7:component:-1.606:(79, 51, 26, 9)|3:component:0.874:(129, 29, 17, 26)"
captcha_019.jpg,0489,9489,"9:slot_scan:-1.389:(7, 8, 22, 26)|4:slot_scan:0.891:(45, 10, 22, 25)|8:component:0.826:(86, 25, 21, 27)|9:component:0.957:(116, 5, 21, 29)"
captcha_023.jpg,1552,1902,"1:component:-0.284:(12, 45, 4, 11)|9:template_scan:-0.795:(38, 14, 33, 40)|0:component:-1.553:(87, 40, 7, 7)|2:position_fallback:0.816:(120, 18, 23, 27)"
captcha_026.jpg,3054,3014,"3:component:0.334:(8, 30, 16, 22)|0:template_scan:-0.291:(52, 30, 15, 14)|1:component:-1.590:(87, 44, 4, 8)|4:component:0.779:(123, 26, 17, 22)"
captcha_031.jpg,4340,4344,"4:component:0.967:(9, 23, 15, 18)|3:template_scan:0.579:(45, 18, 24, 27)|4:template_scan:-1.104:(80, 15, 24, 27)|4:position_fallback:-1.619:(120, 18, 23, 27)"
captcha_032.jpg,7012,7712,"7:component:0.521:(9, 17, 15, 22)|7:template_scan:-1.384:(51, 28, 13, 13)|1:component:-0.285:(77, 28, 4, 10)|2:component:0.537:(123, 23, 23, 33)"
captcha_035.jpg,9206,9296,"9:slot_scan:-0.184:(7, 28, 22, 26)|2:template_scan:0.272:(43, 18, 24, 31)|9:component:-1.625:(68, 0, 38, 36)|6:component:0.723:(117, 7, 22, 22)"
captcha_037.jpg,9900,9910,"9:template_scan:0.771:(4, 10, 30, 38)|9:slot_scan:0.164:(45, 10, 22, 25)|1:component:-1.069:(99, 25, 7, 8)|0:slot_scan:-1.586:(120, 33, 23, 27)"
captcha_039.jpg,0113,4113,"4:component:-1.563:(16, 8, 11, 15)|1:template_scan:0.727:(50, 36, 11, 15)|1:slot_scan:-1.219:(82, 34, 22, 26)|3:component:0.684:(127, 25, 21, 27)"
captcha_041.jpg,3436,9496,"9:component:0.558:(11, 17, 19, 25)|4:component:0.959:(51, 9, 16, 20)|9:component:0.323:(74, 25, 30, 26)|6:template_scan:-0.129:(117, 18, 26, 28)"
captcha_046.jpg,3080,3684,"3:component:0.893:(13, 14, 13, 19)|6:slot_scan:-1.448:(45, 35, 22, 25)|8:component:0.968:(82, 16, 18, 22)|4:position_fallback:-1.660:(120, 18, 23, 27)"
captcha_047.jpg,5350,9390,"9:component:-1.458:(14, 43, 4, 7)|3:component:0.309:(49, 19, 22, 31)|9:template_scan:-0.769:(80, 18, 28, 32)|0:template_scan:0.689:(130, 22, 15, 15)"
captcha_048.jpg,9017,9417,"9:component:0.876:(11, 14, 27, 43)|4:slot_scan:-1.431:(45, 30, 22, 25)|1:component:-0.388:(98, 38, 5, 11)|7:component:0.454:(122, 22, 28, 26)"
captcha_049.jpg,3743,9743,"9:slot_scan:0.826:(7, 8, 22, 26)|7:component:0.963:(43, 13, 15, 21)|4:template_scan:0.533:(78, 14, 27, 28)|3:component:0.862:(121, 9, 15, 23)"
captcha_053.jpg,3179,6179,"6:component:-0.951:(4, 15, 34, 45)|1:component:0.695:(38, 44, 8, 14)|7:component:0.058:(81, 11, 26, 23)|9:component:0.936:(117, 6, 23, 34)"
captcha_054.jpg,4538,4638,"4:template_scan:0.700:(4, 10, 30, 38)|6:slot_scan:-1.463:(45, 35, 22, 25)|3:template_scan:0.664:(80, 15, 24, 27)|8:component:0.942:(119, 23, 18, 26)"
captcha_056.jpg,9947,9949,"9:component:0.787:(15, 15, 17, 24)|9:component:0.968:(45, 25, 16, 20)|4:component:0.905:(79, 15, 22, 18)|9:slot_scan:-1.119:(120, 8, 23, 27)"
captcha_057.jpg,3219,9219,"9:component:0.659:(11, 27, 22, 29)|2:component:0.553:(47, 27, 25, 33)|1:component:-0.276:(83, 33, 4, 10)|9:component:0.981:(126, 25, 15, 21)"
captcha_058.jpg,3763,1763,"1:position_fallback:0.563:(7, 18, 22, 26)|7:template_scan:-1.045:(42, 13, 26, 30)|6:component:0.328:(82, 13, 14, 18)|3:component:0.433:(124, 18, 12, 19)"
captcha_061.jpg,9252,1202,"1:slot_scan:-0.700:(7, 8, 22, 26)|2:component:0.741:(42, 20, 30, 30)|0:template_scan:-1.552:(78, 32, 15, 16)|2:template_scan:0.547:(118, 12, 26, 32)"
captcha_062.jpg,7965,9965,"9:component:-0.772:(6, 15, 29, 45)|9:template_scan:0.085:(45, 18, 24, 27)|6:component:0.990:(77, 21, 30, 31)|5:template_scan:0.452:(122, 28, 14, 15)"
captcha_063.jpg,7248,4248,"4:template_scan:-1.285:(7, 14, 24, 30)|2:component:0.809:(53, 19, 20, 30)|4:component:0.642:(88, 13, 19, 26)|8:slot_scan:0.860:(120, 8, 23, 27)"
captcha_067.jpg,4198,4498,"4:component:0.990:(11, 13, 17, 20)|4:template_scan:-1.022:(43, 18, 24, 31)|9:component:0.402:(80, 20, 26, 36)|8:position_fallback:0.918:(120, 18, 23, 27)"
captcha_069.jpg,2378,9478,"9:template_scan:-1.155:(4, 10, 30, 38)|4:template_scan:0.304:(44, 14, 24, 27)|7:component:0.931:(84, 25, 17, 23)|8:position_fallback:0.908:(120, 18, 23, 27)"
captcha_070.jpg,4353,4933,"4:template_scan:0.632:(7, 14, 25, 28)|9:component:0.480:(50, 18, 18, 23)|3:slot_scan:-1.257:(82, 34, 22, 26)|3:component:0.272:(119, 9, 14, 18)"
captcha_073.jpg,1960,1969,"1:component:-1.142:(8, 44, 4, 10)|9:template_scan:0.802:(38, 14, 33, 40)|6:template_scan:0.725:(80, 18, 28, 32)|9:component:-0.929:(113, 28, 37, 30)"
captcha_074.jpg,1394,6394,"6:slot_scan:-1.176:(7, 28, 22, 26)|3:component:0.779:(50, 12, 19, 26)|9:component:0.970:(79, 19, 19, 28)|4:component:0.945:(119, 28, 17, 19)"
captcha_075.jpg,0937,0997,"0:component:0.159:(23, 42, 10, 18)|9:component:0.452:(52, 29, 14, 20)|9:component:-0.018:(89, 19, 23, 31)|7:template_scan:0.598:(118, 12, 26, 32)"
captcha_076.jpg,9382,9982,"9:template_scan:0.810:(4, 10, 30, 38)|9:template_scan:-0.677:(43, 18, 24, 31)|8:component:0.916:(88, 11, 17, 20)|2:template_scan:0.806:(119, 14, 27, 30)"
captcha_078.jpg,6772,6771,"6:template_scan:0.806:(4, 11, 26, 29)|7:position_fallback:0.737:(45, 20, 22, 25)|7:position_fallback:0.918:(82, 19, 22, 26)|1:component:-1.196:(134, 30, 15, 17)"
captcha_080.jpg,5671,9871,"9:component:-1.568:(0, 30, 19, 13)|8:position_fallback:0.746:(45, 20, 22, 25)|7:component:0.389:(85, 28, 20, 27)|1:component:-0.709:(121, 48, 4, 10)"
captcha_086.jpg,2084,2684,"2:component:0.769:(13, 26, 13, 18)|6:position_fallback:-1.584:(45, 20, 22, 25)|8:component:0.982:(83, 28, 15, 18)|4:component:0.962:(124, 15, 18, 22)"
captcha_087.jpg,1751,1791,"1:component:-0.594:(20, 25, 4, 10)|7:template_scan:0.234:(42, 13, 26, 30)|9:component:-1.618:(77, 47, 26, 13)|1:component:-0.768:(130, 15, 5, 11)"
captcha_088.jpg,7127,7927,"7:component:0.732:(7, 23, 13, 20)|9:component:-1.608:(49, 0, 7, 11)|2:component:0.565:(84, 26, 24, 30)|7:position_fallback:0.731:(120, 18, 23, 27)"
captcha_090.jpg,2202,2292,"2:template_scan:0.805:(7, 13, 24, 29)|2:template_scan:0.687:(38, 14, 33, 40)|9:slot_scan:-0.311:(82, 34, 22, 26)|2:template_scan:0.793:(119, 14, 27, 30)"
captcha_092.jpg,2026,2926,"2:component:0.564:(15, 14, 19, 27)|9:template_scan:-1.413:(38, 14, 33, 40)|2:component:0.898:(87, 11, 27, 32)|6:component:0.994:(119, 20, 24, 32)"
captcha_094.jpg,0414,0410,"0:component:0.090:(7, 41, 5, 8)|4:component:0.241:(48, 0, 33, 41)|1:component:-0.261:(79, 17, 7, 11)|0:component:-1.584:(115, 33, 35, 27)"
captcha_095.jpg,4725,4029,"4:component:0.866:(13, 27, 15, 18)|0:template_scan:-0.458:(51, 28, 13, 13)|2:component:0.915:(81, 16, 19, 31)|9:component:-1.578:(107, 0, 43, 38)"
captcha_096.jpg,6528,6928,"6:component:0.638:(9, 14, 19, 22)|9:template_scan:-1.612:(38, 14, 33, 40)|2:template_scan:0.807:(80, 15, 24, 27)|8:component:0.967:(118, 7, 25, 30)"
captcha_097.jpg,5678,0678,"0:slot_scan:-1.237:(7, 34, 22, 26)|6:component:0.489:(51, 11, 13, 18)|7:component:0.055:(80, 25, 26, 24)|8:component:0.823:(122, 14, 16, 19)"
captcha_100.jpg,6224,6221,"6:component:0.858:(2, 19, 21, 22)|2:component:0.844:(50, 13, 21, 30)|2:component:0.963:(79, 12, 18, 26)|1:template_scan:-0.627:(127, 24, 13, 16)"
captcha_102.jpg,7217,7219,"7:position_fallback:0.710:(7, 18, 22, 26)|2:position_fallback:0.830:(45, 20, 22, 25)|1:template_scan:0.736:(86, 23, 12, 15)|9:template_scan:-0.012:(118, 12, 26, 32)"
captcha_104.jpg,6075,9070,"9:template_scan:0.790:(4, 10, 30, 38)|0:component:-1.293:(50, 22, 8, 7)|7:component:0.452:(78, 10, 28, 29)|0:template_scan:-1.267:(122, 28, 14, 15)"
captcha_106.jpg,4275,4270,"4:component:0.905:(8, 26, 15, 18)|2:component:0.821:(51, 10, 23, 33)|7:position_fallback:0.243:(82, 19, 22, 26)|0:component:0.222:(137, 20, 9, 10)"
captcha_108.jpg,0968,5968,"5:component:-1.582:(0, 40, 25, 20)|9:component:0.981:(45, 15, 25, 33)|6:template_scan:-0.044:(80, 18, 28, 32)|8:slot_scan:-0.601:(120, 28, 23, 27)"
captcha_112.jpg,7485,9486,"9:component:-0.569:(6, 7, 34, 32)|4:template_scan:0.027:(43, 18, 24, 31)|8:component:0.953:(82, 20, 24, 30)|6:slot_scan:-1.590:(120, 33, 23, 27)"
captcha_116.jpg,1293,1299,"1:component:-0.605:(7, 49, 6, 11)|2:component:0.959:(46, 13, 31, 37)|9:component:0.932:(84, 21, 26, 37)|9:component:0.087:(113, 12, 27, 28)"
captcha_117.jpg,3185,3980,"3:slot_scan:0.640:(7, 8, 22, 26)|9:slot_scan:-1.482:(45, 10, 22, 25)|8:component:0.988:(84, 22, 18, 23)|0:component:-1.495:(119, 49, 11, 11)"
captcha_119.jpg,7596,7096,"7:component:0.561:(8, 16, 13, 20)|0:template_scan:-1.572:(51, 28, 13, 13)|9:slot_scan:0.831:(82, 9, 22, 26)|6:component:0.983:(118, 10, 26, 28)"
captcha_120.jpg,8150,8906,"8:component:0.740:(6, 21, 18, 21)|9:template_scan:-1.568:(38, 14, 33, 40)|0:template_scan:-1.455:(78, 14, 27, 28)|6:slot_scan:-0.870:(120, 33, 23, 27)"
captcha_122.jpg,5395,5390,"5:template_scan:-0.995:(14, 38, 12, 14)|3:component:0.787:(44, 21, 15, 23)|9:component:0.962:(85, 18, 13, 18)|0:component:-0.848:(110, 8, 16, 17)"
captcha_123.jpg,9340,9349,"9:component:0.919:(10, 11, 24, 33)|3:component:0.918:(51, 26, 19, 26)|4:slot_scan:-1.017:(82, 29, 22, 26)|9:component:-1.667:(136, 0, 14, 31)"
