index,file,result,whole,segment,candidate,cnn,raw,boxes,candidates,ok,content_type,size,url,error
201,captcha_201.jpg,,,,,,,,,1,application/octet-stream,17734,https://south-plus.org/ck.php?nowtime=1778229407308,
202,captcha_202.jpg,,,,,,,,,1,application/octet-stream,13675,https://south-plus.org/ck.php?nowtime=1778229410144,
203,captcha_203.jpg,,,,,,,,,1,application/octet-stream,18678,https://south-plus.org/ck.php?nowtime=1778229413276,
204,captcha_204.jpg,,,,,,,,,1,application/octet-stream,14893,https://south-plus.org/ck.php?nowtime=1778229416342,
205,captcha_205.jpg,,,,,,,,,1,application/octet-stream,18055,https://south-plus.org/ck.php?nowtime=1778229419859,
206,captcha_206.jpg,,,,,,,,,1,application/octet-stream,18157,https://south-plus.org/ck.php?nowtime=1778229422554,
207,captcha_207.jpg,,,,,,,,,1,application/octet-stream,18204,https://south-plus.org/ck.php?nowtime=1778229423745,
208,captcha_208.jpg,,,,,,,,,1,application/octet-stream,17822,https://south-plus.org/ck.php?nowtime=1778229425702,
209,captcha_209.jpg,,,,,,,,,1,application/octet-stream,15020,https://south-plus.org/ck.php?nowtime=1778229428888,
210,captcha_210.jpg,,,,,,,,,1,application/octet-stream,17640,https://south-plus.org/ck.php?nowtime=1778229432036,
211,captcha_211.jpg,,,,,,,,,1,application/octet-stream,14704,https://south-plus.org/ck.php?nowtime=1778229435217,
212,captcha_212.jpg,,,,,,,,,1,application/octet-stream,17024,https://south-plus.org/ck.php?nowtime=1778229438332,
213,captcha_213.jpg,,,,,,,,,1,application/octet-stream,14434,https://south-plus.org/ck.php?nowtime=1778229441414,
214,captcha_214.jpg,,,,,,,,,1,application/octet-stream,15439,https://south-plus.org/ck.php?nowtime=1778229444475,
215,captcha_215.jpg,,,,,,,,,1,application/octet-stream,16231,https://south-plus.org/ck.php?nowtime=1778229447664,
216,captcha_216.jpg,,,,,,,,,1,application/octet-stream,15075,https://south-plus.org/ck.php?nowtime=1778229448432,
217,captcha_217.jpg,,,,,,,,,1,application/octet-stream,18068,https://south-plus.org/ck.php?nowtime=1778229450844,
218,captcha_218.jpg,,,,,,,,,1,application/octet-stream,14336,https://south-plus.org/ck.php?nowtime=1778229451582,
219,captcha_219.jpg,,,,,,,,,1,application/octet-stream,15841,https://south-plus.org/ck.php?nowtime=1778229453928,
220,captcha_220.jpg,,,,,,,,,1,application/octet-stream,14443,https://south-plus.org/ck.php?nowtime=1778229457149,
221,captcha_221.jpg,,,,,,,,,1,application/octet-stream,16104,https://south-plus.org/ck.php?nowtime=1778229460185,
222,captcha_222.jpg,,,,,,,,,1,application/octet-stream,15819,https://south-plus.org/ck.php?nowtime=1778229463370,
223,captcha_223.jpg,,,,,,,,,1,application/octet-stream,15692,https://south-plus.org/ck.php?nowtime=1778229464123,
